,nums,labels
0,百六十九; 四百五十九,1
2401,百八十九; 八百七十四,1
2402,八十六; 六百九十四,1
2403,九十七; 八百九,1
2404,八百十九; 六百十一,0
2405,九十九; 五百三十四,1
2406,九百二十一; 百七十七,0
2407,二百十二; 四百四十七,1
2408,二十; 八十八,1
2409,三百五十九; 九百六十四,1
2410,六百七; 三百九十六,0
2411,二百九十七; 三百十九,1
2412,百二十一; 九百五十,1
2413,八百九十四; 三百五十七,0
2414,九百二十九; 八百六十三,0
2415,八百三十; 五百十八,0
2416,五百十六; 五百四十七,1
2417,百四十四; 八百五,1
2418,百三十; 八百四十九,1
2419,五百八十六; 六百五十三,1
2420,百八十九; 九十四,0
2421,七百三十九; 六百十六,0
2422,七百七十; 九百八十二,1
2423,百六十六; 五百五十五,1
2424,二百六十二; 百三十六,0
2425,四百八十三; 二十一,0
2426,七百八十六; 二百七十五,0
2427,四百九十一; 五百五十九,1
2428,六百六十九; 八百六十三,1
2429,三百十八; 七百十一,1
2430,三百六十八; 六百九十七,1
2431,八百九十五; 六百三十七,0
2432,九百九十二; 七百十二,0
2433,二百三十九; 六百二十一,1
2434,七百三十一; 六百十五,0
2435,九百五十三; 八百六十四,0
2436,九百三十一; 五百四十三,0
2437,五百十一; 二百六十二,0
2438,七百五十八; 三百七十四,0
2439,六十三; 四百八十七,1
2440,五百八十一; 二百七十四,0
2441,八百二十七; 七百四十,0
2442,三百二十; 二百五十七,0
2443,百二十七; 九百五十一,1
2444,七百三十二; 四百五十一,0
2445,三十六; 九百十二,1
2446,五百五十八; 五百八十,1
2447,九十一; 五百九十七,1
2448,三百五十五; 四百四十六,1
2449,六百九; 九百七十六,1
2450,八百五十五; 七百二十七,0
2451,百五十八; 七百五十七,1
2452,九百六十九; 七百三十,0
2453,二百九; 四百五十五,1
2454,八百九十三; 五百七十一,0
2455,九; 六百七十九,1
2456,三百九; 八百二十六,1
2457,七百五十一; 九百六十二,1
2458,七百六十二; 四百三十一,0
2459,九百四十; 三百九十三,0
2460,六百十; 七百二十三,1
2461,二百三十; 八百九十三,1
2462,八百三十四; 三百七十三,0
2463,七百九十; 百九十一,0
2464,七百五; 九百五十五,1
2465,七百三十一; 七百十六,0
2466,二百十二; 七百四十六,1
2467,百九十三; 八百九十四,1
2468,九百七十四; 九百八十一,1
2469,六百四十二; 七百七十九,1
2470,五百九十四; 百四十八,0
2471,三百十一; 九百十八,1
2472,五百六十七; 六百五,1
2473,五百三十五; 百七十八,0
2474,九百三十; 六百九十三,0
2475,八十四; 六十九,0
2476,九百二十四; 百六十五,0
2477,六百七十五; 六百三十八,0
2478,三百五十五; 五百四十八,1
2479,六百八十五; 八百九十三,1
2480,三十九; 二百七十,1
2481,八百六十五; 七百十九,0
2482,三百三十七; 九百九,1
2483,二百三十六; 六百三十四,1
2484,七百四十三; 七百三十三,0
2485,七百二十四; 五百八十四,0
2486,四百三十; 百十,0
2487,八百五十五; 四百八十,0
2488,九百九十六; 四百七十,0
2489,四百五十三; 三百七十一,0
2490,三百一; 八百十五,1
2491,四百七十二; 百三十六,0
2492,四百十二; 十六,0
2493,九百四十一; 五百三十,0
2494,七百三十一; 五百八十九,0
2495,二百二十八; 二百二十一,0
2496,三十; 五百二十五,1
2497,二十七; 五百六十八,1
2498,三百七十五; 百四十四,0
2499,二百九十九; 百九十三,0
2500,七百七十八; 六百四,0
2501,二百九十五; 十,0
2502,百二; 五百二十五,1
2503,四百九十九; 四百十五,0
2504,三百四; 五百六十七,1
2505,二百八十九; 百二十五,0
2506,四百八十五; 六百五十三,1
2507,五百九十七; 四百八十二,0
2508,四百二十一; 九百三十六,1
2509,四百四十三; 八百九十三,1
2510,四百八十四; 二百七十五,0
2511,七百八十四; 五百五十六,0
2512,九百七十九; 三百九十八,0
2513,六百四十五; 四百七十七,0
2514,五百八十九; 六百三十五,1
2515,百三十八; 三百九十八,1
2516,九百八; 二百三十六,0
2517,六百二十四; 三百六十五,0
2518,五百二十八; 二百四,0
2519,九百九十七; 八百二十二,0
2520,四百四十三; 九百五十,1
2521,八百五十七; 六百七十九,0
2522,二百二十七; 三百九十九,1
2523,八百十八; 五百二十九,0
2524,四百六十一; 二百四十二,0
2525,八百七十; 百七,0
2526,四百七十五; 七百三十七,1
2527,五十三; 七百九十八,1
2528,六百七; 十一,0
2529,二百五十六; 八百四十,1
2530,八十九; 七百三十五,1
2531,二百八十七; 六百九十二,1
2532,三十九; 八百三十五,1
2533,八百五十一; 五百八十六,0
2534,二百十; 五百六,1
2535,百十六; 二百八十九,1
2536,三百八十七; 十七,0
2537,八百七十; 七百八,0
2538,四百九十六; 二百二十五,0
2539,九百八十四; 三十六,0
2540,五百六十九; 百九十九,0
2541,八百八十六; 三百五十五,0
2542,百七; 七百四十二,1
2543,二百九十; 二百九十八,1
2544,四百八; 五百十七,1
2545,七百四十二; 千,1
2546,七百七十七; 六百四十七,0
2547,二百六; 四百七十八,1
2548,五十四; 百八十三,1
2549,二百三十; 九百四十二,1
2550,百二十六; 七百三十二,1
2551,五百七十三; 百十四,0
2552,百九十; 三百二十五,1
2553,八百八十一; 八百三十一,0
2554,六百二十九; 二百四十五,0
2555,八百七十五; 七百五,0
2556,六百六十六; 五百五十五,0
2557,七百四十; 七百二十,0
2558,四十五; 三百九十三,1
2559,八百三十五; 二百三十四,0
2560,七百三十六; 八百八,1
2561,二百七十七; 二百十三,0
2562,十六; 六百六十二,1
2563,五百三十四; 四百八十五,0
2564,五百三十六; 八百八十二,1
2565,五十; 五百,1
2566,八百八十三; 百二十八,0
2567,七百四十七; 九百五十九,1
2568,五百七十九; 五百二十一,0
2569,六百九十二; 八百二十,1
2570,三百十九; 九十四,0
2571,七百五十四; 八百五,1
2572,三百三十; 三,0
2573,八百十; 四十二,0
2574,二百九十九; 六百九十五,1
2575,六百五十九; 六百三,0
2576,五百十七; 百九,0
2577,八百七十; 二百三十七,0
2578,五百三十四; 八十四,0
2579,二百五十九; 四百九十三,1
2580,六十三; 六百八十六,1
2581,三百二十五; 二百五十八,0
2582,七百五; 八,0
2583,四百七十三; 四百十四,0
2584,七百十三; 七百六十四,1
2585,九百七十九; 百五十四,0
2586,六百三十九; 六百四十六,1
2587,三百六十; 二百四十五,0
2588,百四十二; 八百三十三,1
2589,七百三十八; 八十六,0
2590,四百七十一; 六百十九,1
2591,三百八十七; 四百七十八,1
2592,八百四十六; 八十四,0
2593,五百九十七; 十,0
2594,四百七十六; 六百二十一,1
2595,九百二十二; 九百八十一,1
2596,七百九十一; 七百三十,0
2597,五百四十一; 七百七十四,1
2598,二百九十三; 九十七,0
2599,五百三十七; 六十九,0
2600,七百三十八; 六百五十,0
2601,三百九十一; 四百五十四,1
2602,七百五十八; 七百二十一,0
2603,六百三十二; 九百八十五,1
2604,八百三十一; 四百二十三,0
2605,五百七十八; 五百二十九,0
2606,七百三; 九百三十八,1
2607,五百八十七; 八百六十八,1
2608,三百二; 四百二十五,1
2609,二百三十六; 九百七十八,1
2610,八百五十六; 四百十六,0
2611,七百四十三; 三百七十六,0
2612,六百五十三; 三百九,0
2613,四十八; 三百八十五,1
2614,七百六十四; 七百四十七,0
2615,八百四十六; 百九十七,0
2616,三百六十三; 四百七十七,1
2617,二百四十四; 五十八,0
2618,七百八; 四百九十五,0
2619,四百九十九; 三百十一,0
2620,二百九十八; 七百十二,1
2621,五百九十; 六十,0
2622,三十三; 百二十九,1
2623,二百十八; 七百二十六,1
2624,五百二十六; 二十八,0
2625,三百四十三; 六百三十七,1
2626,五百二十七; 二百六十六,0
2627,百五十四; 八十一,0
2628,二百九十五; 六十四,0
2629,九十五; 四百六十三,1
2630,四百十七; 四百二十七,1
2631,七百六; 百八十二,0
2632,百十四; 八百十八,1
2633,六百五十四; 百二十八,0
2634,二百五十; 五十八,0
2635,五百四十八; 七百十二,1
2636,五百十; 五百七十七,1
2637,六百九; 四百二十八,0
2638,九百七十三; 五百三十三,0
2639,八百八十七; 二十九,0
2640,百三十四; 五百六十一,1
2641,八百三十六; 三百八十九,0
2642,八百三十三; 十一,0
2643,三百三十六; 九百八十四,1
2644,二百二十三; 三百二十六,1
2645,七百十七; 三十,0
2646,七百七十八; 四百七十一,0
2647,八百七十四; 四百十五,0
2648,七十八; 百三十六,1
2649,七百九; 百六十七,0
2650,五百七十; 三百七,0
2651,九百八十八; 六百三十六,0
2652,百九十三; 六百九十九,1
2653,三百八十三; 二百八十五,0
2654,七百五十七; 二百五十一,0
2655,七百六十七; 三百六十六,0
2656,四百八十九; 四百四十五,0
2657,三百二十九; 百五十七,0
2658,四十九; 三百七十六,1
2659,百二十六; 百九十六,1
2660,三百十五; 五百四十八,1
2661,二百九十三; 八百二十六,1
2662,六百五; 五百二十六,0
2663,二十七; 七百十一,1
2664,九百九十五; 三百三,0
2665,十三; 六百五十八,1
2666,九百二十; 三百十六,0
2667,四百四十七; 五百七十六,1
2668,八百八十九; 五百十二,0
2669,九百三; 八百四十二,0
2670,四十; 六十,1
2671,三百二十九; 四十八,0
2672,二百四十四; 五百五十,1
2673,八百三十; 四百四,0
2674,百十六; 六百七十三,1
2675,二百五十三; 四百五,1
2676,五百五十四; 五百八十,1
2677,六十七; 十九,0
2678,八百四十四; 二百八十七,0
2679,百十三; 二百二十四,1
2680,百七十三; 七百四十九,1
2681,四百七十一; 六百五,1
2682,五百七十四; 二十一,0
2683,六百三十四; 六百六十七,1
2684,四百八十四; 八百五十九,1
2685,九百五十四; 七百五十九,0
2686,五百五十六; 三百七十七,0
2687,六百十八; 七百五十九,1
2688,二百九十一; 七百八十七,1
2689,二百六十四; 百五十九,0
2690,七百二十三; 九百九十七,1
2691,五百一; 七百六十一,1
2692,六百五十七; 七百十五,1
2693,九百二十四; 六百八十一,0
2694,九百五十九; 五百九十二,0
2695,二百六十二; 九百五十,1
2696,七百; 六十一,0
2697,九百三十九; 五百六十八,0
2698,五百十七; 四百二十六,0
2699,百七十五; 八百十四,1
2700,八十; 三百六十九,1
2701,八百七十一; 四百八十五,0
2702,四百八十四; 六百十,1
2703,七百十九; 七百七十一,1
2704,六十五; 九百十,1
2705,九百五十八; 七百七十三,0
2706,七百九十七; 二百二十八,0
2707,六百九十五; 百三十一,0
2708,五百三十四; 六百九十二,1
2709,八百八十四; 九百七十,1
2710,二百八十六; 二十二,0
2711,七百五十九; 三百二十七,0
2712,八百七十三; 二百三十五,0
2713,八百五十八; 九百二十七,1
2714,百二十五; 百八十七,1
2715,三十八; 九百三十八,1
2716,四百七十二; 二百六十四,0
2717,七百三十二; 五百七十六,0
2718,百八十九; 五百十八,1
2719,五十二; 五百十九,1
2720,三百二十九; 百七十六,0
2721,二百十三; 九十二,0
2722,六百; 八百二十三,1
2723,八百十二; 百一,0
2724,二百四十; 八百一,1
2725,三百十四; 四百五十九,1
2726,百九十六; 八百九十五,1
2727,五百五十九; 四百三十五,0
2728,四百四十; 八百十七,1
2729,五百二十六; 六百八十六,1
2730,六百六十一; 四十二,0
2731,七百八十一; 二百九十五,0
2732,四百五十六; 百六,0
2733,六百二十一; 八百二十九,1
2734,二百十七; 三百五十,1
2735,四百九十六; 百三十九,0
2736,六百四十九; 百六十七,0
2737,八百十二; 七百九十三,0
2738,百十; 九百九,1
2739,三百十七; 六百三十二,1
2740,二百五; 五百六十二,1
2741,九百六十八; 四百三十,0
2742,四百十四; 四百八十,1
2743,四百三十四; 十七,0
2744,八百六十; 八百七十七,1
2745,二百八十二; 八百十九,1
2746,四百三十二; 八百九十三,1
2747,四百五十八; 八百二十七,1
2748,二百七十三; 七百二,1
2749,五百八十六; 五百五十一,0
2750,六百二十二; 百八十,0
2751,百五十六; 五百二十二,1
2752,二百三十一; 八百三,1
2753,四百十二; 八百八十二,1
2754,百七十八; 五百六十二,1
2755,九百二十六; 九百七,0
2756,四百九十三; 四百六,0
2757,五百二十七; 四百三十六,0
2758,七百二十七; 五十,0
2759,八百六十六; 五百六十五,0
2760,六十六; 三百六,1
2761,七百二十三; 六百二十,0
2762,百四十二; 三百四十七,1
2763,三十九; 七百一,1
2764,四百; 七百八十九,1
2765,四百七十七; 三百五十一,0
2766,五百二十一; 九百三十四,1
2767,百十一; 三百四,1
2768,五十七; 九百十七,1
2769,六百六十六; 六百六十二,0
2770,八百六十九; 七百二十二,0
2771,八十九; 八百二,1
2772,三百六十六; 六百六十四,1
2773,四百五十四; 六百三十八,1
2774,四百七十; 二百五十五,0
2775,七百六十五; 四百六十八,0
2776,百二十; 八百十一,1
2777,七百八十八; 二百十三,0
2778,五百九十四; 二百九十七,0
2779,五百五十五; 四百六十二,0
2780,二百三十二; 五十,0
2781,八百四十三; 七百十六,0
2782,六百六十二; 四百九十二,0
2783,九百七十四; 百九十五,0
2784,三百五十八; 六百六十七,1
2785,百七十五; 四百二,1
2786,三百八十九; 百八十一,0
2787,二百七十一; 八百四十七,1
2788,三十五; 六百八,1
2789,二百九十四; 百九十六,0
2790,百九十九; 八百八十六,1
2791,七百九十五; 九百四十三,1
2792,七百四十六; 九百二十六,1
2793,四十一; 九百八十四,1
2794,二十八; 七百六十四,1
2795,二十五; 五百十九,1
2796,三百六十八; 五十六,0
2797,四百六十七; 五百七十四,1
2798,五百二十三; 八百四十五,1
2799,六百五十一; 二百九十二,0
2800,百五十五; 五百七十七,1
2801,九百三十四; 百三十五,0
2802,七百四十六; 五百十八,0
2803,四百十八; 六百九十八,1
2804,四百十五; 百七,0
2805,九百五十四; 百二十三,0
2806,十五; 三百三十七,1
2807,三百二十七; 七百九十四,1
2808,百六; 七十四,0
2809,百六十; 四百七十七,1
2810,三百二十五; 九百六十二,1
2811,八百八十; 七百七十六,0
2812,八百四十; 百九十五,0
2813,三百九十一; 百七十二,0
2814,三百六; 七百五十四,1
2815,四百十七; 三百五十五,0
2816,七百四十; 五百三十,0
2817,百七十八; 四百五十九,1
2818,五百八十五; 四百七十七,0
2819,八百五十八; 四百八十九,0
2820,五十四; 六百二十九,1
2821,七百六; 九百八十八,1
2822,二百七十八; 四百,1
2823,七十二; 八百四十四,1
2824,六百三十四; 七百十六,1
2825,四百二十三; 七百九十五,1
2826,七百十六; 二十七,0
2827,六十二; 四百六十二,1
2828,八百三十八; 五百五十二,0
2829,二百二十四; 八百八十八,1
2830,百三十六; 三百五十九,1
2831,六百七十二; 九百九十二,1
2832,五百; 七百八十八,1
2833,八百五十; 三百三十一,0
2834,二百八十九; 五百四十二,1
2835,二百六十四; 三百八十四,1
2836,三百二十七; 百九十四,0
2837,二百二十三; 二百九十七,1
2838,百二十; 九百八十二,1
2839,六百四十三; 三百七十五,0
2840,九百五十三; 九百二十二,0
2841,三百二十三; 九百十七,1
2842,六百十四; 二百五十一,0
2843,八百六十七; 三百五十八,0
2844,百九十六; 七百四十,1
2845,四百四十二; 百二十六,0
2846,六百五; 二百四十,0
2847,八百九十三; 八百五十七,0
2848,百八十四; 四百四十六,1
2849,二百九十一; 五百九十三,1
2850,五十一; 九百五十四,1
2851,三十九; 九百八十二,1
2852,百四十九; 七百四十四,1
2853,五百六十八; 百五,0
2854,九; 九百八十五,1
2855,八百六十; 八百十七,0
2856,十七; 五百九,1
2857,三百四十八; 三百,0
2858,六百六十四; 三百七十二,0
2859,四百九十一; 四百五十八,0
2860,六百五十四; 九百五十六,1
2861,四百八十五; 五百八十四,1
2862,七百三十; 六百八十一,0
2863,六百; 百六十七,0
2864,百二十三; 五十,0
2865,五百二十三; 二百六十,0
2866,六百五十一; 二百三十七,0
2867,二十三; 三百四十二,1
2868,五百二十五; 八百六十四,1
2869,九百二十; 二十五,0
2870,百七十三; 二百七十八,1
2871,六百八十三; 二百七十一,0
2872,百十三; 四百二十五,1
2873,六百十三; 五百四十四,0
2874,五百二十九; 九百八,1
2875,七百七十一; 八百八十五,1
2876,九百八十二; 七百七十六,0
2877,五十八; 七十六,1
2878,二百二; 五百八十六,1
2879,八百四十; 三十二,0
2880,九百八; 九百五十六,1
2881,九百八十八; 七百十二,0
2882,百五十三; 二百六十五,1
2883,四百四; 三百十一,0
2884,七百三十二; 百六十三,0
2885,二百十; 三十一,0
2886,八百七十二; 百八十二,0
2887,四; 七百八十三,1
2888,七百九十一; 百九十七,0
2889,二百十四; 四百五,1
2890,九百八十七; 九百八十六,0
2891,八百十七; 五百五,0
2892,三百五十七; 四十八,0
2893,四百二十; 四百三十三,1
2894,二百五十二; 四百四十四,1
2895,百八十二; 九百四十八,1
2896,二百八十一; 九百七十四,1
2897,二百三十八; 二百九十九,1
2898,八百三十四; 五百八十五,0
2899,九百八十; 五百三十二,0
2900,三百二十三; 八百十二,1
2901,六百五十一; 六百六十四,1
2902,六十一; 三百六十五,1
2903,八百四十八; 四百四十五,0
2904,七百三十五; 九百二十八,1
2905,八百六十四; 六百二十七,0
2906,八百六十八; 六百二十一,0
2907,二百三十; 六百七十八,1
2908,四百九十七; 三百三十四,0
2909,百四十八; 三百九十,1
2910,九百九十二; 五百四十四,0
2911,八百五; 四百五十一,0
2912,二百三十一; 四百十三,1
2913,九百二十一; 九百十二,0
2914,五百四十二; 三百一,0
2915,八百九十四; 五百四十九,0
2916,九百八十; 三百六十二,0
2917,四十六; 六百九十六,1
2918,百四十一; 四百七十,1
2919,六百四十三; 十五,0
2920,七十一; 九百六十九,1
2921,七百九十七; 六百二十九,0
2922,六百五十四; 五百五十四,0
2923,五百十; 六百五十九,1
2924,八十五; 四百四十九,1
2925,五百九十七; 九百九十二,1
2926,七百八十; 三百十四,0
2927,百三十四; 九百八十三,1
2928,百五十三; 九百六十一,1
2929,二百九十三; 六百二十,1
2930,六百七十七; 九百三十二,1
2931,八百三; 四百四十三,0
2932,六百九十三; 四十三,0
2933,八百八十七; 二百,0
2934,三百六十八; 五十一,0
2935,二百五十二; 八百七十四,1
2936,二百七十四; 五百三十,1
2937,百九十六; 八百六十五,1
2938,八百三十四; 百九十一,0
2939,三十六; 百七十八,1
2940,九百二十九; 四百六十九,0
2941,八百六十三; 四百五十五,0
2942,五百三; 七百十,1
2943,二百二十六; 六百九十三,1
2944,八百五十二; 七百六十一,0
2945,八百九十四; 九百三十,1
2946,二百十七; 七百二十九,1
2947,八百九十五; 九百五十四,1
2948,三百六十三; 三百三十,0
2949,八百七十五; 百八十三,0
2950,三百五十二; 四百七十六,1
2951,八百六十; 九百三十三,1
2952,二百九十三; 四百二十四,1
2953,百三十八; 九十九,0
2954,四百三十八; 二百七十,0
2955,七; 百六十四,1
2956,四十六; 三百二,1
2957,百七十一; 九百八十九,1
2958,六百十五; 七百十五,1
2959,九百二十九; 二百五十四,0
2960,七百四十八; 二百五十六,0
2961,八十九; 九百七十二,1
2962,四百六十四; 七百五,1
2963,七百九十; 百七十二,0
2964,二百八; 三百七十五,1
2965,八百二十七; 四百九十二,0
2966,七百七十一; 三百三十五,0
2967,七百十二; 四百四十三,0
2968,百八十六; 八百七十一,1
2969,二百七十六; 五十五,0
2970,六百十一; 二百二十五,0
2971,九百七十六; 八百四十七,0
2972,八百一; 七百七十三,0
2973,二百六十二; 十,0
2974,二百; 三百四十一,1
2975,百六十七; 四百七十七,1
2976,十五; 六百三十一,1
2977,九百六十二; 十一,0
2978,四百二十二; 五十六,0
2979,八百七十五; 三百五十六,0
2980,二百四十; 八百六十四,1
2981,八十四; 七百七十六,1
2982,六百八十八; 四百四十三,0
2983,五百七; 四百九十七,0
2984,六百五十; 四百八十七,0
2985,四百九十; 三百四十七,0
2986,百七十一; 六百五十三,1
2987,九百五十七; 六百二十九,0
2988,八百三十九; 十五,0
2989,三百三十七; 六百十六,1
2990,六百七十一; 五百三,0
2991,九百五十; 五十九,0
2992,八百九十三; 九百七十四,1
2993,二十二; 四百八十六,1
2994,三百六十八; 二百七十八,0
2995,三百二十六; 五十三,0
2996,四百七十六; 百七,0
2997,二百二十四; 六百八十六,1
2998,九百四; 九百五十八,1
2999,七百十六; 九百十四,1
3000,五百十; 三百三十三,0
3001,六百五十三; 六百十七,0
3002,八百四; 二百九十二,0
3003,三; 七十八,1
3004,九十五; 四百二十五,1
3005,百五; 四百七十一,1
3006,九百十一; 六百七十七,0
3007,四百十九; 八百九十六,1
3008,百十; 八百十四,1
3009,三百九十一; 八百九十七,1
3010,二十; 百五十五,1
3011,二十九; 八百五十五,1
3012,四百二十六; 七百二,1
3013,七百二十二; 三百四十二,0
3014,九百八十八; 六百二十八,0
3015,四百二十七; 五百五十二,1
3016,七百二十六; 九十四,0
3017,四百八十一; 五百六十三,1
3018,三十; 三百十七,1
3019,六百九十五; 三十三,0
3020,七百七十六; 五百四十六,0
3021,二百五十六; 四百四十三,1
3022,六百八十二; 八百七十二,1
3023,十七; 九百二十五,1
3024,百六十五; 九百三十八,1
3025,百五; 六百九十一,1
3026,九百九十四; 九百一,0
3027,九百三十八; 六百七十五,0
3028,七百三十九; 二百五十三,0
3029,四百九十一; 三十八,0
3030,八百八十一; 五百二十一,0
3031,六十三; 七百十九,1
3032,五百十三; 六十,0
3033,四百; 九百三十五,1
3034,八百三十四; 六百七,0
3035,八百四十二; 六百三十九,0
3036,八百八十二; 百九,0
3037,九百七十七; 百九十六,0
3038,二百五十四; 二百八十一,1
3039,六百五十五; 三百三十一,0
3040,四百九十三; 八百一,1
3041,三百二十五; 百七十四,0
3042,三百八十九; 九百八十一,1
3043,四百二; 百四十七,0
3044,八百六十九; 百五十八,0
3045,六百八十一; 三百十七,0
3046,八百二十; 百五十四,0
3047,四百十; 六百七十一,1
3048,百四十七; 百四,0
3049,八百六十三; 五百二十七,0
3050,二百八十八; 八百十二,1
3051,三百十二; 九,0
3052,八百四十; 八百八十二,1
3053,二百六十五; 二百三十七,0
3054,七十五; 三百七十六,1
3055,六百九十三; 四百三十三,0
3056,九百十三; 七十二,0
3057,四百一; 七百二十五,1
3058,二百七十六; 八百九十一,1
3059,三百三十一; 五十二,0
3060,五百五; 六百四十,1
3061,五百六十五; 六百三十四,1
3062,九百五十三; 五百十二,0
3063,九百九十四; 三百七十八,0
3064,三十四; 百三十六,1
3065,三百三十七; 八百五十二,1
3066,八百二十; 二百二十三,0
3067,七百七十九; 七百七十,0
3068,百五十五; 百八十四,1
3069,七百二十; 五百八十二,0
3070,五百三十六; 八百四十四,1
3071,六十七; 百八十二,1
3072,五百七十四; 三十二,0
3073,九十二; 九百六十六,1
3074,九百十三; 五百九,0
3075,九百十三; 百三十,0
3076,五百九十; 六百九十五,1
3077,六百六十五; 二百二,0
3078,七百八十; 三十一,0
3079,二百五十八; 八百五十六,1
3080,四十二; 五百七十,1
3081,二百八十八; 五百十四,1
3082,二百七十五; 五百四十五,1
3083,二百九十七; 百四十六,0
3084,七百三十三; 三十七,0
3085,五十六; 三百十六,1
3086,四百三; 五百十六,1
3087,百四十九; 四百七十六,1
3088,八百四十六; 六百六十,0
3089,二百十五; 四百七十五,1
3090,七百二; 六百八十五,0
3091,四百七十; 三百五,0
3092,二百七十; 百七十六,0
3093,三百九十六; 七十四,0
3094,三百七十三; 八百二十五,1
3095,三十五; 四百五十三,1
3096,五百二十九; 七百十,1
3097,八百八十四; 百五十一,0
3098,三百五十八; 八百七十四,1
3099,四百四十六; 八百三十,1
3100,二百五十; 七百九十一,1
3101,五百八十; 八百三十二,1
3102,五百七十四; 九百二十二,1
3103,三百三十七; 四百二十六,1
3104,七十三; 六百二十五,1
3105,二百五十七; 五百十一,1
3106,三百七十八; 七十三,0
3107,八百四十一; 五百八十三,0
3108,八百二十八; 二百九,0
3109,二百七十; 四百四十三,1
3110,八百十五; 七百四,0
3111,五百九十五; 五百三,0
3112,九百二十九; 五百二十四,0
3113,四百五十二; 五百六十七,1
3114,四百八十一; 四百三十七,0
3115,四; 七百九十三,1
3116,二百三; 六百七十五,1
3117,三百五十七; 五百三,1
3118,九十七; 六百七十九,1
3119,五百三十; 七百四十四,1
3120,九百六十七; 八百二十六,0
3121,八百八十九; 百四十三,0
3122,八百五十二; 六百二十三,0
3123,九百九十一; 六百六十四,0
3124,五十八; 二百十一,1
3125,四百三十二; 三百四十,0
3126,九百三十二; 百七十八,0
3127,五百八十一; 九百八十二,1
3128,七十一; 八百七十三,1
3129,六百六十; 三百六十,0
3130,四百十二; 九百六,1
3131,百九十五; 百三十,0
3132,十七; 九百四十三,1
3133,二百十五; 三百二十三,1
3134,二百四十一; 三百二十六,1
3135,六百九十二; 二百九,0
3136,二百九十; 九百五十五,1
3137,二百九十; 百十,0
3138,七百三十八; 八十八,0
3139,六百; 七十八,0
3140,六百六十; 百六十一,0
3141,五百二十二; 四百九十三,0
3142,八百七十七; 六百六十二,0
3143,六百五十九; 二十一,0
3144,三百五十; 八百十七,1
3145,六百八十九; 百四十九,0
3146,四十八; 九百四十,1
3147,七百四十; 八百二十,1
3148,百四; 三百四十二,1
3149,四十五; 九百七,1
3150,九百三十六; 三百九十五,0
3151,五十四; 七百八十七,1
3152,九十二; 三百十八,1
3153,五百五十二; 三百五十四,0
3154,七百八十六; 七百三十六,0
3155,九百四十二; 二百六十三,0
3156,百九十三; 八百五十六,1
3157,五百十三; 四百六十,0
3158,二百八十二; 三百六,1
3159,九百五十二; 八百三十一,0
3160,四百八十三; 九百四十一,1
3161,三百三十四; 四百五十四,1
3162,七百二十一; 八百六十六,1
3163,百五十三; 三十二,0
3164,四十; 七百六十九,1
3165,四百八十五; 六百八十四,1
3166,八百六; 七百四十三,0
3167,二百六十九; 百十九,0
3168,三百七十四; 百五十二,0
3169,八百五十二; 百九十五,0
3170,十六; 二百九十,1
3171,二百十五; 七百四十一,1
3172,百七十六; 五百三十七,1
3173,二百二; 五百二十四,1
3174,九百十七; 八百二十一,0
3175,二百三十六; 八百九十九,1
3176,八百二十一; 六百七十六,0
3177,十九; 六十四,1
3178,九百五十九; 二百五十三,0
3179,七百五十五; 三百五十五,0
3180,百八十五; 二百八十五,1
3181,四百四十二; 八百二十一,1
3182,六百三十五; 五百八十三,0
3183,九百八十; 千,1
3184,百八十一; 五百四十一,1
3185,百三十二; 五百七十九,1
3186,九百十七; 七百四十五,0
3187,二百六十三; 五百四十四,1
3188,九百八十五; 二百一,0
3189,七百八十四; 百七十九,0
3190,二百八十一; 八十九,0
3191,三百六十一; 八百三十,1
3192,七百六十九; 六百二十八,0
3193,七十; 七百九十四,1
3194,八百三十八; 四百二十七,0
3195,七百十六; 九百九十三,1
3196,九百五十三; 六百六,0
3197,百五十二; 六百六十五,1
3198,百六十五; 八百四十六,1
3199,四百六十七; 五百三十七,1
3200,百二十八; 五百三十八,1
3201,九百三十七; 七百五十九,0
3202,六百六十七; 二百四十四,0
3203,四百三十九; 七百九,1
3204,六百四十五; 九百八十五,1
3205,七十六; 七百五十五,1
3206,三百八十五; 五百九十,1
3207,四百四十九; 四百八十三,1
3208,八百六十九; 三百三十六,0
3209,六百二十九; 六十四,0
3210,九百九十五; 五百二十七,0
3211,四百七十三; 二百四十六,0
3212,九百三十八; 七百五十二,0
3213,九百十四; 八百九,0
3214,二百六十; 六百三十三,1
3215,五百二十三; 四百七十五,0
3216,四百九十; 四百四十,0
3217,七; 五百八十六,1
3218,七百六十三; 百五十四,0
3219,三百七十六; 四百三十,1
3220,七百十七; 四百六十四,0
3221,二百六十三; 百六十一,0
3222,三百八十五; 八百五十五,1
3223,五百八十一; 五百四十一,0
3224,三十三; 七百二十六,1
3225,三百二十八; 八十八,0
3226,三百四; 七百一,1
3227,九百七十四; 九百三十,0
3228,九百五十; 三百九十七,0
3229,八百三十五; 四百二十六,0
3230,百二; 四十九,0
3231,八百四十九; 六百四十一,0
3232,八百一; 九百四十四,1
3233,三百九十; 百九十三,0
3234,二百八十; 五百二十三,1
3235,八百六十五; 六百十五,0
3236,二十六; 六百三十六,1
3237,七百七十; 二百六十,0
3238,二百四十五; 九百四十九,1
3239,八百四; 三百七十九,0
3240,九百三; 五百六,0
