,sents,labels
0,syvhundrede og fire; trehundrede og fem,0
6672,nihundrede og syvoghalvfems; trehundrede og seksogtyve,0
6673,nihundrede og syvoghalvfjerds; trehundrede og fireogtreds,0
6674,trehundrede og treoghalvtreds; tohundrede og otteogtyve,0
6675,firehundrede og atten; ethundrede og ti,0
6676,ethundrede og enogtyve; syvhundrede og seksoghalvfjerds,1
6677,syvogtyve; firehundrede og halvtreds,1
6678,tohundrede og tooghalvfjerds; tohundrede og otteogtredive,0
6679,ethundrede og femogtreds; femhundrede og enogfirs,1
6680,firehundrede og enogfirs; otteoghalvtreds,0
6681,seksogtredive; sekshundrede og nioghalvfjerds,1
6682,tohundrede og toogfirs; sekshundrede og enoghalvtreds,1
6683,nihundrede og otteoghalvfjerds; syvhundrede og treds,0
6684,nihundrede og treogfirs; trehundrede og seksoghalvfems,0
6685,ottehundrede og niogtyve; trehundrede og toogtyve,0
6686,ethundrede og seksogtreds; tohundrede og enogfirs,1
6687,sekshundrede; firehundrede og fireogfyrre,0
6688,ethundrede og syvoghalvfems; femhundrede og treogtreds,1
6689,nihundrede og seksogfyrre; syvhundrede og syvogfirs,0
6690,ethundrede og seks; femhundrede og halvfjerds,1
6691,ottehundrede og halvfjerds; niogtreds,0
6692,sekshundrede og otteogtreds; nihundrede og femogfirs,1
6693,syvhundrede og syvogfirs; femhundrede og seksogtreds,0
6694,femogtredive; trehundrede og seks,1
6695,syvhundrede og fireoghalvtreds; ottehundrede og otte,1
6696,syvogtyve; firehundrede og treogtyve,1
6697,sekshundrede; tohundrede og halvfems,0
6698,firehundrede og treoghalvfems; trehundrede og niogfirs,0
6699,nihundrede og atten; syvhundrede og seksten,0
6700,ethundrede og syvogfirs; trehundrede og femogtreds,1
6701,firehundrede og seksten; ethundrede og seksogtreds,0
6702,femhundrede og halvfjerds; nihundrede og seksoghalvfjerds,1
6703,firehundrede og seksoghalvfems; syvhundrede og otteogtredive,1
6704,nihundrede og niogtreds; firehundrede og femten,0
6705,sekshundrede og halvfems; syvhundrede og treoghalvtreds,1
6706,sekshundrede og syvogfyrre; femhundrede og syvoghalvfjerds,0
6707,tohundrede og femogfyrre; sekshundrede og fireogfirs,1
6708,femhundrede og syvogfirs; firehundrede og enogfirs,0
6709,firehundrede og tolv; ottehundrede og nioghalvfems,1
6710,firehundrede og enogtyve; ethundrede og to,0
6711,tohundrede; toogtredive,0
6712,firehundrede og niogfirs; sekshundrede og tretten,1
6713,femhundrede og treogtredive; niogtredive,0
6714,tohundrede og nioghalvfjerds; firehundrede og treds,1
6715,tohundrede og otteogfirs; ni,0
6716,tohundrede og fireoghalvfjerds; ethundrede og fireoghalvfems,0
6717,tohundrede og otteogfyrre; nihundrede og otteogfyrre,1
6718,toogfyrre; halvfjerds,1
6719,femoghalvfems; nihundrede og halvfems,1
6720,firehundrede og femogfirs; firehundrede og atten,0
6721,fire; femhundrede og femogfirs,1
6722,sekshundrede og ni; enogtreds,0
6723,tohundrede og elleve; tohundrede og sytten,1
6724,tohundrede; ethundrede og tre,0
6725,ottehundrede og femoghalvtreds; tohundrede og firs,0
6726,ottehundrede og treogtredive; nioghalvfjerds,0
6727,trehundrede og femogfirs; trehundrede og syvogtreds,0
6728,ottehundrede og otte; trehundrede og femogfirs,0
6729,trehundrede og toogtreds; nihundrede og seksogtyve,1
6730,nihundrede og enogfyrre; ottehundrede og fireogfirs,0
6731,femhundrede og syvogtredive; femhundrede og treogtredive,0
6732,tohundrede og niogfyrre; sekshundrede og treds,1
6733,femhundrede og syvogtredive; tohundrede og firs,0
6734,femogfirs; ethundrede og niogtreds,1
6735,sekshundrede og fem; seksoghalvfjerds,0
6736,tohundrede og atten; ottehundrede og enoghalvtreds,1
6737,ottehundrede og syvogtredive; trehundrede og fireoghalvtreds,0
6738,firehundrede og toogtyve; syvhundrede og enoghalvtreds,1
6739,trehundrede og firs; tohundrede og elleve,0
6740,firehundrede og syvogtredive; tohundrede og femoghalvfjerds,0
6741,syvhundrede og niogtreds; tohundrede og seksogtyve,0
6742,trehundrede og niogtreds; ethundrede og fireogtreds,0
6743,ottehundrede og tre; firehundrede og enogtyve,0
6744,syvhundrede og syvoghalvfems; trehundrede og fireogtreds,0
6745,nihundrede og tredive; tohundrede og nioghalvfjerds,0
6746,halvfems; firehundrede og fyrre,1
6747,nihundrede og syvogtreds; seksoghalvfems,0
6748,sekshundrede og treogfirs; syvhundrede og otteogtreds,1
6749,trehundrede og treogfirs; firehundrede og fireoghalvtreds,1
6750,syvhundrede og femoghalvfjerds; firehundrede og toogtyve,0
6751,ottehundrede og syvogtreds; nihundrede og femogtreds,1
6752,fjorten; femhundrede og seksogfyrre,1
6753,syvhundrede og otte; sekshundrede og femogfyrre,0
6754,sekshundrede og syvoghalvfems; firehundrede og fireoghalvfems,0
6755,sekshundrede og toogfyrre; syvhundrede og nitten,1
6756,trehundrede og femogtreds; nihundrede og syvogtreds,1
6757,firehundrede og syvoghalvfjerds; elleve,0
6758,femhundrede og seksoghalvtreds; sekshundrede og otteogfyrre,1
6759,femhundrede og enogfirs; tohundrede og halvfems,0
6760,tohundrede og seksogfyrre; femhundrede og fjorten,1
6761,trehundrede og fyrre; sekshundrede og syvogtreds,1
6762,nihundrede og otteogtreds; ethundrede og enoghalvtreds,0
6763,syvhundrede og femoghalvfjerds; femhundrede og sytten,0
6764,ethundrede og fyrre; trehundrede og seksten,1
6765,sekshundrede og nioghalvfems; tohundrede og atten,0
6766,otteogfirs; ethundrede og tyve,1
6767,syvhundrede og otteoghalvfems; syvhundrede og otteogtredive,0
6768,ethundrede og tredive; syvhundrede og niogfyrre,1
6769,syvhundrede og treogtreds; ethundrede og syvogtredive,0
6770,nihundrede og treogfyrre; otteoghalvfjerds,0
6771,nihundrede og fireogtredive; firehundrede og enoghalvfjerds,0
6772,femhundrede og et; nihundrede og femogfyrre,1
6773,nihundrede og nioghalvfems; nihundrede og otteoghalvfems,0
6774,femhundrede og seksoghalvfjerds; femhundrede og tre,0
6775,firehundrede og fireogfyrre; firehundrede og fireogtreds,1
6776,sekshundrede og femten; syvhundrede og nioghalvfems,1
6777,sekshundrede; syvhundrede og fireoghalvtreds,1
6778,sekshundrede og syvogfyrre; trehundrede og enoghalvtreds,0
6779,syvhundrede og nioghalvfjerds; nihundrede og treoghalvfjerds,1
6780,sekshundrede og fem; syvhundrede og ni,1
6781,trehundrede og tretten; tohundrede og tolv,0
6782,ethundrede og et; ethundrede og halvtreds,1
6783,femhundrede og firs; ethundrede og to,0
6784,tohundrede og femogtreds; femhundrede og tooghalvfems,1
6785,firehundrede og nioghalvtreds; ethundrede og fyrre,0
6786,nihundrede og toogfyrre; femhundrede og seksogtredive,0
6787,ottehundrede og et; sekshundrede og syvogtredive,0
6788,sekshundrede og toogfirs; tohundrede og halvtreds,0
6789,ottehundrede og seksoghalvfjerds; firehundrede og treoghalvfjerds,0
6790,femhundrede og toogfirs; nihundrede og femoghalvfjerds,1
6791,trehundrede og niogtreds; tohundrede,0
6792,trehundrede og to; nihundrede og tyve,1
6793,femhundrede og nioghalvfjerds; firehundrede og enogtreds,0
6794,femhundrede og niogtyve; fire,0
6795,femhundrede og syvogtredive; ethundrede og enogtredive,0
6796,sekshundrede og femogfirs; ethundrede og fyrre,0
6797,syvhundrede og enogtyve; firehundrede og fireogtyve,0
6798,syvhundrede og fireoghalvfems; nihundrede og toogtredive,1
6799,syvhundrede og seksten; femhundrede og treogtredive,0
6800,trehundrede og seksoghalvtreds; ottehundrede og enoghalvtreds,1
6801,ottehundrede og seksogfyrre; femhundrede og femogtyve,0
6802,seks; tohundrede og syvogfyrre,1
6803,nihundrede og syvogtyve; femhundrede og to,0
6804,ottehundrede og fyrre; nihundrede og elleve,1
6805,otteogfirs; nihundrede og otteoghalvtreds,1
6806,trehundrede og ni; firehundrede og syv,1
6807,femhundrede og nioghalvtreds; firehundrede og femogtyve,0
6808,ethundrede og syvogtredive; femhundrede og seks,1
6809,ethundrede og tretten; sekshundrede og enogtyve,1
6810,firehundrede og tredive; tohundrede og enoghalvfjerds,0
6811,femhundrede og treoghalvfjerds; femhundrede og seksogtreds,0
6812,firehundrede og femogfyrre; syvogtyve,0
6813,firehundrede og sytten; firehundrede og treoghalvfjerds,1
6814,treogtredive; syvhundrede og nitten,1
6815,ethundrede og otteogtyve; trehundrede og enogtreds,1
6816,ethundrede og fem; trehundrede og seksoghalvfjerds,1
6817,nihundrede og syvogtreds; femhundrede og otteogfyrre,0
6818,nihundrede og enogfirs; tohundrede og otteogfirs,0
6819,firehundrede og syvogtyve; nihundrede og niogfyrre,1
6820,tohundrede og seksogtredive; sekshundrede og otteoghalvfems,1
6821,nihundrede og toogtyve; nihundrede og tredive,1
6822,tohundrede og tooghalvfems; syvhundrede og enogtredive,1
6823,trehundrede og treoghalvtreds; syvhundrede og to,1
6824,ottehundrede og otteogfyrre; syvhundrede og enoghalvfems,0
6825,fireogfyrre; femhundrede og seksogtredive,1
6826,ottehundrede og otteoghalvtreds; ethundrede og syvoghalvfjerds,0
6827,femhundrede og enogfyrre; tohundrede og enoghalvfjerds,0
6828,femoghalvfems; ottehundrede og toogtredive,1
6829,sekshundrede og tyve; ethundrede og otteogtreds,0
6830,firehundrede og otteogtredive; ethundrede og toogtredive,0
6831,femhundrede og seks; syvogfirs,0
6832,femhundrede og fireoghalvfems; tohundrede og ni,0
6833,ethundrede og femoghalvfjerds; tohundrede og fire,1
6834,syvhundrede; tohundrede og treogtredive,0
6835,ottehundrede og seksoghalvfjerds; nihundrede og tredive,1
6836,syvhundrede og fireogtreds; tohundrede og otteoghalvfjerds,0
6837,ottehundrede og nioghalvfjerds; ethundrede og halvfjerds,0
6838,tohundrede og tooghalvfjerds; syvhundrede og femoghalvfjerds,1
6839,ethundrede og treogtreds; sekshundrede og to,1
6840,firehundrede og syvoghalvtreds; femhundrede og otteogtredive,1
6841,ethundrede og tretten; ottehundrede og niogtredive,1
6842,nihundrede og otteoghalvfjerds; fireoghalvtreds,0
6843,tohundrede og niogfyrre; ottehundrede og treoghalvfjerds,1
6844,femhundrede og enogfirs; femhundrede og femogtreds,0
6845,syvhundrede og tolv; nihundrede og syvogfyrre,1
6846,tohundrede og fireogfirs; sekshundrede og seksogtyve,1
6847,femhundrede og enogfirs; ethundrede og seksogtreds,0
6848,firehundrede og seksogfyrre; sekshundrede og elleve,1
6849,ottehundrede og niogtreds; firehundrede og fem,0
6850,nihundrede og toogtreds; tohundrede og enogtredive,0
6851,sekshundrede og toogtreds; syvhundrede og halvfems,1
6852,tohundrede og fem; ottehundrede og seksten,1
6853,nihundrede og fem; firehundrede og seksoghalvfjerds,0
6854,tohundrede og fireoghalvfjerds; trehundrede og enogfirs,1
6855,enogtredive; firehundrede og tooghalvfems,1
6856,firehundrede og seksogtreds; halvfjerds,0
6857,tohundrede og tooghalvtreds; syvogfirs,0
6858,sekshundrede og femoghalvfjerds; ethundrede og nioghalvfjerds,0
6859,ottehundrede og fireoghalvfems; trehundrede og sytten,0
6860,nihundrede og toogfyrre; trehundrede og otteogtyve,0
6861,ethundrede og femogtredive; femhundrede og treogfirs,1
6862,niogfirs; nioghalvfjerds,0
6863,ottehundrede og enogfirs; femhundrede og otteoghalvtreds,0
6864,firehundrede og treogtredive; syvhundrede og fireogtredive,1
6865,ethundrede og tre; nihundrede og treogfyrre,1
6866,ottehundrede og syvoghalvtreds; ottehundrede og fjorten,0
6867,femogtyve; tohundrede og fireogtredive,1
6868,femhundrede og halvtreds; ottehundrede og sytten,1
6869,firehundrede og niogtyve; ethundrede og seksten,0
6870,femhundrede og halvtreds; nihundrede og tre,1
6871,sekshundrede og seksogfirs; nihundrede og syvoghalvtreds,1
6872,nihundrede og syvogfyrre; tohundrede og otteoghalvtreds,0
6873,sekshundrede og tooghalvtreds; ethundrede og treoghalvfjerds,0
6874,firehundrede og fireogtredive; ottehundrede og et,1
6875,trehundrede og fem; femhundrede og seksogfyrre,1
6876,firehundrede og halvfems; trehundrede og enoghalvfems,0
6877,nihundrede og femoghalvfjerds; ethundrede og fireoghalvfems,0
6878,ethundrede og fireogtreds; femhundrede og otteoghalvtreds,1
6879,tolv; ethundrede og to,1
6880,ethundrede og tooghalvfems; ottehundrede og tooghalvtreds,1
6881,ottehundrede og niogfyrre; tohundrede og tredive,0
6882,halvfems; sekshundrede og to,1
6883,syvhundrede og enogtyve; ottehundrede og treds,1
6884,tohundrede og otteoghalvtreds; tohundrede og treoghalvfjerds,1
6885,firehundrede og niogtredive; tyve,0
6886,sekshundrede og treogtredive; femhundrede,0
6887,femhundrede og fjorten; trehundrede og syvogfirs,0
6888,firehundrede og fjorten; tohundrede og atten,0
6889,firehundrede og seksogfirs; toogtredive,0
6890,trehundrede og enoghalvfems; firehundrede og treds,1
6891,trehundrede og otteoghalvtreds; firehundrede og enoghalvfjerds,1
6892,ethundrede og fireoghalvtreds; ethundrede og treoghalvtreds,0
6893,sekshundrede og femoghalvfems; firehundrede og fireoghalvfjerds,0
6894,nihundrede og syvogtreds; syvhundrede og treogtreds,0
6895,ethundrede og syvogtyve; femhundrede og seksogfirs,1
6896,treogtredive; syvhundrede og fem,1
6897,firehundrede og treoghalvfjerds; trehundrede og halvtreds,0
6898,firehundrede og syvogfyrre; ottehundrede og tredive,1
6899,otteogfyrre; femhundrede og fireogfirs,1
6900,tohundrede og tretten; trehundrede og enogtyve,1
6901,sekshundrede og atten; nihundrede og syvogfirs,1
6902,sekshundrede og femogtreds; ottehundrede og fireogtreds,1
6903,ottehundrede og nioghalvfjerds; sekshundrede og tooghalvfems,0
6904,trehundrede og toogfirs; firehundrede og treogfirs,1
6905,sekshundrede og niogfyrre; ethundrede og fireogtreds,0
6906,trehundrede og niogfyrre; firehundrede og elleve,1
6907,ottehundrede og sytten; trehundrede og niogtredive,0
6908,ethundrede og fireogtredive; syvhundrede og enogtreds,1
6909,ottehundrede og syvoghalvtreds; syvhundrede og femogtredive,0
6910,nihundrede og seksogtyve; nihundrede og halvfjerds,1
6911,sekshundrede og otteoghalvfjerds; sekshundrede og ni,0
6912,firehundrede og treogfirs; firehundrede og treds,0
6913,sekshundrede og enogtyve; firehundrede og halvfjerds,0
6914,sekshundrede og fireogtredive; firehundrede og seksogfyrre,0
6915,syvhundrede og syvoghalvtreds; firehundrede og fireoghalvfems,0
6916,nihundrede og femogtredive; sekshundrede og treoghalvtreds,0
6917,ethundrede og halvfems; tohundrede og tredive,1
6918,ethundrede og niogtredive; seksogfyrre,0
6919,firehundrede og halvtreds; ethundrede og femoghalvfems,0
6920,sekshundrede og otteogfyrre; trehundrede og femten,0
6921,ethundrede og treogfyrre; ottehundrede og toogfyrre,1
6922,femhundrede og syvogtredive; sekshundrede og femogfyrre,1
6923,firehundrede og tredive; ottehundrede og toogfirs,1
6924,sekshundrede og syvogtredive; nihundrede og syvogtredive,1
6925,nihundrede og fire; niogfyrre,0
6926,tohundrede og syv; syvhundrede og femten,1
6927,syvhundrede og seks; femhundrede og enogfyrre,0
6928,syvhundrede og femten; syvhundrede og niogfirs,1
6929,nihundrede og enogtyve; ottehundrede og otteogtreds,0
6930,firehundrede og enoghalvfems; tohundrede og niogtreds,0
6931,firehundrede og ni; firehundrede og seksogtreds,1
6932,niogtredive; sekshundrede og toogfyrre,1
6933,firehundrede og enoghalvtreds; tohundrede og enogtyve,0
6934,firehundrede og enoghalvfjerds; femhundrede og syvogtyve,1
6935,ethundrede og toogtreds; ethundrede og firs,1
6936,fire; femhundrede og fireogfirs,1
6937,syvhundrede og syvogtredive; trehundrede og fyrre,0
6938,treoghalvfems; syvhundrede og fire,1
6939,syvhundrede og otteogtredive; ottehundrede og ti,1
6940,firehundrede; femhundrede og niogtreds,1
6941,tohundrede og femoghalvfjerds; firehundrede og fjorten,1
6942,halvfems; otteogfirs,0
6943,tohundrede og treoghalvfjerds; sekshundrede og otte,1
6944,tohundrede og niogtredive; trehundrede og toogfyrre,1
6945,ethundrede og femten; ethundrede og otteogtredive,1
6946,ottehundrede og nioghalvtreds; trehundrede og femogtreds,0
6947,ottehundrede og treogtyve; femhundrede og niogfyrre,0
6948,tohundrede; syvhundrede og enogtredive,1
6949,ottehundrede og seksogtyve; seksoghalvtreds,0
6950,trehundrede og syvogtredive; trehundrede og treogtreds,1
6951,tohundrede og treogfirs; tohundrede og seksogtyve,0
6952,tohundrede og halvtreds; trehundrede og femoghalvfems,1
6953,tohundrede og otteogtreds; tohundrede og treoghalvfems,1
6954,firehundrede og seksoghalvfems; trehundrede og treoghalvtreds,0
6955,firehundrede og toogtreds; firehundrede og toogfirs,1
6956,enoghalvfems; nihundrede og otteoghalvfems,1
6957,syvhundrede og seksogtyve; ethundrede og otte,0
6958,firehundrede og fireogfyrre; trehundrede og femoghalvfjerds,0
6959,femhundrede og toogtredive; femhundrede og femogtyve,0
6960,sekshundrede og halvtreds; firehundrede og enoghalvfems,0
6961,femhundrede og otteogfyrre; firehundrede og seksten,0
6962,firehundrede og syv; ottehundrede og seksoghalvfems,1
6963,sekshundrede og femogtredive; ti,0
6964,femhundrede og seksogtredive; ethundrede og nioghalvfems,0
6965,femhundrede og seksogtreds; femhundrede og femogtyve,0
6966,nihundrede og halvfjerds; ethundrede og halvfems,0
6967,nihundrede og femogtredive; syvhundrede og niogtredive,0
6968,nihundrede og fireogfirs; fem,0
6969,firehundrede og toogtredive; syvhundrede og atten,1
6970,nihundrede og seksoghalvtreds; tohundrede og halvtreds,0
6971,femhundrede og tredive; tohundrede og tyve,0
6972,nihundrede og fem; trehundrede og femogtreds,0
6973,nihundrede og tooghalvfems; tohundrede og femogtreds,0
6974,tolv; tohundrede og enoghalvfems,1
6975,trehundrede og treds; tohundrede og seksogtyve,0
6976,otteoghalvtreds; tohundrede og treoghalvtreds,1
6977,ethundrede og femoghalvfjerds; nihundrede og syvogtreds,1
6978,sekshundrede og sytten; femhundrede og otteoghalvfjerds,0
6979,trehundrede og treogfirs; nihundrede og tredive,1
6980,nihundrede og syv; firehundrede og halvfjerds,0
6981,ottehundrede og syvogtreds; fem,0
6982,fireoghalvfjerds; ethundrede og nioghalvfems,1
6983,trehundrede og seks; sekshundrede og firs,1
6984,syvhundrede og firs; tohundrede og otteogtredive,0
6985,trehundrede og atten; seksoghalvfems,0
6986,fireogfyrre; firehundrede og toogtreds,1
6987,ottehundrede og fireogtreds; sekshundrede og fireogtreds,0
6988,nihundrede og syvogtredive; trehundrede og treogtyve,0
6989,nihundrede og fem; nihundrede og femogfyrre,1
6990,syvoghalvfjerds; seksoghalvtreds,0
6991,trehundrede og seksogtreds; tohundrede,0
6992,syvhundrede og seks; syvhundrede og treds,1
6993,sekshundrede og atten; tohundrede og syvoghalvfjerds,0
6994,syvhundrede og fire; ottehundrede og niogtyve,1
6995,sekshundrede og seksten; firehundrede og treoghalvtreds,0
6996,tohundrede og fireogfirs; nihundrede og enoghalvfjerds,1
6997,nihundrede og toogtredive; ottehundrede og femoghalvtreds,0
6998,to; nihundrede og otteogtredive,1
6999,ethundrede og treogtreds; tohundrede og syvoghalvfems,1
7000,firehundrede og fireogtyve; syvhundrede og femogtyve,1
7001,nihundrede og treds; firehundrede og halvfjerds,0
7002,femhundrede; syvhundrede og treoghalvtreds,1
7003,firehundrede og treogtreds; firehundrede og fire,0
7004,nihundrede og fireogtyve; tohundrede og otteogtyve,0
7005,trehundrede og femogfyrre; ethundrede og toogfirs,0
7006,femhundrede og femogfyrre; ethundrede og femoghalvfems,0
7007,syvhundrede og treds; ottehundrede og toogtreds,1
7008,tohundrede og toogtyve; ottehundrede og otteogfyrre,1
7009,trehundrede og femoghalvfems; syvhundrede,1
7010,fireoghalvfems; ottehundrede og femten,1
7011,firehundrede og niogtredive; femogtredive,0
7012,trehundrede og nioghalvtreds; sekshundrede og ti,1
7013,trehundrede og treogtredive; firehundrede og treogtredive,1
7014,trehundrede og treds; tohundrede og halvtreds,0
7015,tohundrede og niogfyrre; syvhundrede og toogtredive,1
7016,treogfyrre; ottehundrede og tolv,1
7017,nihundrede og seksoghalvfems; nihundrede og enogfyrre,0
7018,nihundrede og ni; ethundrede og fireoghalvfjerds,0
7019,femhundrede og fireogtredive; syvhundrede og treogtreds,1
7020,tohundrede og femogfirs; trehundrede og fireoghalvtreds,1
7021,seks; tohundrede og halvtreds,1
7022,ethundrede og otteogtredive; femhundrede og treogtredive,1
7023,ottehundrede og niogfirs; firehundrede og halvfems,0
7024,ethundrede og toogtyve; sekshundrede og firs,1
7025,tohundrede og otte; tohundrede og femogfirs,1
7026,femhundrede og ti; sekshundrede og treds,1
7027,toogfirs; femhundrede og seksogtredive,1
7028,trehundrede og nioghalvfjerds; femhundrede og femoghalvfems,1
7029,treogtreds; sekshundrede og seksogfirs,1
7030,tohundrede og otte; femhundrede og sytten,1
7031,trehundrede og toogtreds; syvhundrede og otteogtreds,1
7032,trehundrede og otteoghalvfems; nihundrede og nitten,1
7033,sekshundrede og seksogtredive; fjorten,0
7034,tolv; syvhundrede og niogtreds,1
7035,firehundrede og femogtreds; femogtyve,0
7036,nihundrede og ti; enogfirs,0
7037,enogtredive; syvhundrede og treogfirs,1
7038,syvhundrede; tohundrede og fireoghalvtreds,0
7039,syvhundrede og fireogtreds; sekshundrede og otteogfyrre,0
7040,nihundrede og otteoghalvfems; tohundrede og otteogfyrre,0
7041,femhundrede og fireoghalvfjerds; syvhundrede og tredive,1
7042,tohundrede og ti; syvhundrede og femoghalvfems,1
7043,tohundrede og ni; nihundrede og ti,1
7044,treogtredive; seksten,0
7045,sekshundrede og femoghalvfems; sekshundrede og fem,0
7046,treoghalvfjerds; firehundrede og fireogfyrre,1
7047,fireogtredive; ethundrede og fjorten,1
7048,nihundrede og fyrre; tohundrede og syvoghalvfjerds,0
7049,ottehundrede og treoghalvfems; ottehundrede og seksogfyrre,0
7050,tohundrede og femogfyrre; ethundrede og enogtreds,0
7051,nihundrede og enogtredive; trehundrede og enoghalvfems,0
7052,fireoghalvfjerds; firehundrede og tre,1
7053,trehundrede og fireogfirs; trehundrede og fyrre,0
7054,trehundrede og femten; trehundrede og niogfirs,1
7055,trehundrede og toogfyrre; treoghalvtreds,0
7056,trehundrede og femogfyrre; firehundrede og toogtyve,1
7057,ottehundrede og treds; ottehundrede og atten,0
7058,firehundrede og syv; trehundrede og tooghalvfems,0
7059,sekshundrede og seksoghalvtreds; ethundrede og syvoghalvfems,0
7060,treogtreds; sekshundrede og toogtyve,1
7061,trehundrede; firehundrede og enogtredive,1
7062,tohundrede og tretten; ottehundrede og enoghalvtreds,1
7063,nihundrede og treoghalvfems; syvhundrede og toogtreds,0
7064,tohundrede og fjorten; ottehundrede og otteogtreds,1
7065,ottehundrede og fireogfirs; femhundrede og femoghalvfems,0
7066,tohundrede og femoghalvfjerds; syvhundrede og nitten,1
7067,firehundrede og fjorten; ottehundrede og fireogfirs,1
7068,sekshundrede og nioghalvfjerds; femhundrede og fireogfyrre,0
7069,firehundrede og syvogtredive; ethundrede og syvoghalvfems,0
7070,nihundrede og tooghalvtreds; syvhundrede og otte,0
7071,firehundrede og fireogfyrre; femhundrede og fireogfirs,1
7072,enogtredive; firehundrede og syvogfyrre,1
7073,femten; syv,0
7074,femhundrede og fireoghalvtreds; ethundrede og otteogfirs,0
7075,sekshundrede og tredive; firs,0
7076,treds; tohundrede og otteogtredive,1
7077,trehundrede og nioghalvfems; femhundrede og tredive,1
7078,femhundrede og tredive; tohundrede og toogfirs,0
7079,sekshundrede og otteoghalvfjerds; syvhundrede og enogtreds,1
7080,toogtredive; sekshundrede og otteoghalvfjerds,1
7081,firehundrede og ti; trehundrede og halvtreds,0
7082,trehundrede og fireogtredive; ottehundrede og toogfyrre,1
7083,treoghalvfems; sekshundrede og syv,1
7084,ottehundrede og femten; ethundrede og ni,0
7085,nihundrede og syvogtreds; treogfirs,0
7086,sekshundrede og tolv; tohundrede og niogtyve,0
7087,sekshundrede og seksten; trehundrede og femogfirs,0
7088,firehundrede og treoghalvfems; tohundrede og nioghalvfjerds,0
7089,syvhundrede og seksogtredive; sekshundrede og niogtredive,0
7090,trehundrede og syvogfyrre; trehundrede og treds,1
7091,tohundrede og seksten; nioghalvfjerds,0
7092,sekshundrede og toogtyve; femhundrede og fire,0
7093,trehundrede og toogtredive; firehundrede og syvogtyve,1
7094,ethundrede og femoghalvfems; nihundrede og seksoghalvtreds,1
7095,syvhundrede og syvogtredive; ethundrede og sytten,0
7096,ethundrede og atten; tohundrede og enoghalvfjerds,1
7097,tooghalvfjerds; ethundrede og fireogfirs,1
7098,nihundrede og enogtyve; femhundrede og treoghalvfems,0
7099,sekshundrede og otteogtredive; nihundrede og enogtredive,1
7100,trehundrede og femogtreds; enoghalvfems,0
7101,femhundrede og fire; trehundrede og seksoghalvfems,0
7102,nihundrede og ni; nioghalvtreds,0
7103,treoghalvtreds; femhundrede og tooghalvfjerds,1
7104,firehundrede og halvfems; trehundrede og tretten,0
7105,femhundrede og fireogfyrre; trehundrede og fireogtreds,0
7106,tooghalvfems; nihundrede og syvoghalvtreds,1
7107,syvhundrede og otteoghalvtreds; tohundrede og seksten,0
7108,firehundrede og seksogfirs; firehundrede og femogtredive,0
7109,tohundrede og treogtredive; syvoghalvfjerds,0
7110,firehundrede og syv; ottehundrede og femogtreds,1
7111,femhundrede og nioghalvfjerds; tohundrede og femoghalvtreds,0
7112,ethundrede og toogfirs; firehundrede og nioghalvtreds,1
7113,syvhundrede og elleve; firehundrede og seksoghalvtreds,0
7114,firehundrede; ottehundrede og nitten,1
7115,fireogtyve; ottehundrede og seksoghalvfems,1
7116,tohundrede og fireoghalvfjerds; fireogfyrre,0
7117,firehundrede og seksoghalvfjerds; ottehundrede og seksogfirs,1
7118,trehundrede og fireoghalvfems; nihundrede og halvfems,1
7119,ethundrede og tre; tohundrede,1
7120,firehundrede og seks; tohundrede og otteoghalvfems,0
7121,trehundrede og fireoghalvfjerds; tohundrede og halvfjerds,0
7122,ethundrede og femogtredive; ottehundrede og otteogtyve,1
7123,trehundrede og tooghalvtreds; otteogtredive,0
7124,otteogtredive; sekshundrede og ni,1
7125,sekshundrede og treogtyve; femhundrede og enogfirs,0
7126,tooghalvfjerds; tre,0
7127,nihundrede og femoghalvtreds; nihundrede og toogfyrre,0
7128,ottehundrede og fireogfyrre; trehundrede og fyrre,0
7129,seksogfyrre; syvhundrede og nioghalvfems,1
7130,ottehundrede og ni; nihundrede og tretten,1
7131,femhundrede og otteogfirs; trehundrede og syvogtyve,0
7132,trehundrede og nioghalvtreds; nihundrede og fem,1
7133,trehundrede og femogtredive; firehundrede og firs,1
7134,firehundrede og tooghalvtreds; syvhundrede og fireogtredive,1
7135,ethundrede og to; ottehundrede og ni,1
7136,ethundrede og treoghalvfjerds; femhundrede og syvogfirs,1
7137,ottehundrede og otteogtyve; ethundrede og treogtyve,0
7138,firehundrede og nioghalvtreds; nihundrede og femogtreds,1
7139,elleve; nihundrede og treoghalvfems,1
7140,syvhundrede og otte; ethundrede og tooghalvfems,0
7141,firehundrede og treogtreds; firehundrede og toogfyrre,0
7142,femhundrede og ti; ottehundrede og treoghalvtreds,1
7143,trehundrede og otteogfyrre; sekshundrede og toogtredive,1
7144,syvhundrede og syvogfirs; nihundrede og tyve,1
7145,femhundrede og ni; tohundrede og syvogtreds,0
7146,trehundrede og toogtredive; syvogtreds,0
7147,nihundrede og syvoghalvfjerds; ottehundrede og sytten,0
7148,firehundrede og femten; ottehundrede og fireogfirs,1
7149,ottehundrede og seksten; ethundrede og firs,0
7150,firehundrede og otteogfyrre; ethundrede og et,0
7151,nihundrede og enoghalvfems; femhundrede og seks,0
7152,sekshundrede og otteogtyve; tohundrede og fireogfyrre,0
7153,tohundrede og niogtredive; tohundrede og otteogtyve,0
